"","year","quarter","industry1","industry2","industry3","total_employment","employment_change","job_vacancy_rate","recruitment_rate","resignation_rate","retrench_rate","emp_ch_rate","Year"
"353",2012,4,"manufacturing","manufacturing","petroleum, chemical and pharmaceutical products",64300,1400,1.5,1.1,0.7,40,2.17729393468118,"2012 Q4"
"354",2012,4,"services","education, health and social services","public administration and education",218900,2300,3.6,0.9,0.5,10,1.05070808588397,"2012 Q4"
"355",2012,4,"services","wholesale and retail trade","retail trade",161900,4300,4.8,5.3,3.9,220,2.65596046942557,"2012 Q4"
"356",2012,4,"services","administrative and support services","security and investigation",36800,100,3.8,4.4,4,10,0.271739130434783,"2012 Q4"
"357",2012,4,"services","information and communications","telecommunications, broadcasting and publishing",38900,0,2.2,2.3,1.5,130,0,"2012 Q4"
"358",2012,4,"manufacturing","manufacturing","transport equipment",128400,400,1.2,1.5,1,10,0.311526479750779,"2012 Q4"
"359",2012,4,"services","transportation and storage","water transport and supporting services",44000,400,0.7,2.2,1.2,10,0.909090909090909,"2012 Q4"
"360",2012,4,"services","wholesale and retail trade","wholesale trade",304800,2400,1.6,2.8,2,250,0.78740157480315,"2012 Q4"
"361",2013,1,"services","accommodation and food services","accommodation",34900,-1100,5.3,3.3,3.1,0,-3.15186246418338,"2013 Q1"
"362",2013,1,"services","transportation and storage","air transport and supporting services",31500,300,3.3,1.4,1,20,0.952380952380952,"2013 Q1"
"363",2013,1,"services","professional services","architectural and engineering services",61400,900,2.2,2.5,1.7,130,1.46579804560261,"2013 Q1"
"364",2013,1,"services","art, entertainment, recreation and other services","arts, entertainment and recreation",55300,0,3.6,2.5,1.9,10,0,"2013 Q1"
"365",2013,1,"services","administrative and support services","cleaning and landscaping",52600,4000,2.8,4.9,4.4,0,7.60456273764259,"2013 Q1"
"366",2013,1,"construction","construction","construction",450400,9700,1.4,3.6,2.1,130,2.15364120781528,"2013 Q1"
"367",2013,1,"manufacturing","manufacturing","electronic, computer and optical products",88500,-2800,2.1,1.3,1.7,290,-3.1638418079096,"2013 Q1"
"368",2013,1,"manufacturing","manufacturing","fabricated metal products, machinery and equipment",112500,-400,2,1.5,1.6,200,-0.355555555555556,"2013 Q1"
"369",2013,1,"services","financial and insurance services","financial services",133100,500,1.7,1.6,1.1,310,0.375657400450789,"2013 Q1"
"370",2013,1,"services","accommodation and food services","food and beverage services",187300,200,4.3,4.5,4.5,50,0.106780565936999,"2013 Q1"
"371",2013,1,"manufacturing","manufacturing","food, beverages and tobacco",39500,1400,2.5,3.2,2.4,10,3.54430379746835,"2013 Q1"
"372",2013,1,"services","education, health and social services","health and social services",117800,2800,3.2,2,1.4,0,2.37691001697793,"2013 Q1"
"373",2013,1,"services","financial and insurance services","insurance services",29700,200,3.3,2.2,1.4,10,0.673400673400673,"2013 Q1"
"374",2013,1,"services","information and communications","it and other information services",72700,1400,2.6,2.8,2.1,70,1.92572214580468,"2013 Q1"
"375",2013,1,"services","transportation and storage","land transport and supporting services",85700,700,2.8,2.3,1.4,10,0.816802800466744,"2013 Q1"
"376",2013,1,"services","professional services","legal, accounting and management services",97700,2400,1.5,2.3,2,170,2.45649948822927,"2013 Q1"
"377",2013,1,"services","administrative and support services","other administrative and support services",100100,-300,3,3.9,3,30,-0.2997002997003,"2013 Q1"
"378",2013,1,"services","art, entertainment, recreation and other services","other community, social and personal services",305300,1200,4.7,2.5,2.4,10,0.393056010481494,"2013 Q1"
"379",2013,1,"manufacturing","manufacturing","other manufacturing industries",61900,500,2.5,1.9,1.9,140,0.807754442649435,"2013 Q1"
"380",2013,1,"services","professional services","other professional services",48500,500,4.1,2.4,1.7,10,1.03092783505155,"2013 Q1"
"381",2013,1,"services","transportation and storage","other transportation and storage services",63100,600,2.2,3.4,2.5,60,0.950871632329636,"2013 Q1"
"382",2013,1,"manufacturing","manufacturing","paper / rubber / plastic products and printing",38400,-200,1.8,1.8,1.9,40,-0.520833333333333,"2013 Q1"
"383",2013,1,"manufacturing","manufacturing","petroleum, chemical and pharmaceutical products",64200,0,2.7,1.7,0.9,0,0,"2013 Q1"
"384",2013,1,"services","education, health and social services","public administration and education",222000,3100,3.6,1.2,0.7,10,1.3963963963964,"2013 Q1"
"385",2013,1,"services","wholesale and retail trade","retail trade",161800,-100,4.8,4.8,5,10,-0.0618046971569839,"2013 Q1"
"386",2013,1,"services","administrative and support services","security and investigation",37000,200,3.3,6.4,4.2,0,0.540540540540541,"2013 Q1"
"387",2013,1,"services","information and communications","telecommunications, broadcasting and publishing",39100,200,2,2.1,1.7,120,0.51150895140665,"2013 Q1"
"388",2013,1,"manufacturing","manufacturing","transport equipment",129300,1000,1.2,1.4,1.1,10,0.773395204949729,"2013 Q1"
"389",2013,1,"services","transportation and storage","water transport and supporting services",44600,800,3.2,2,1.5,10,1.79372197309417,"2013 Q1"
"390",2013,1,"services","wholesale and retail trade","wholesale trade",307300,2400,2.2,3,2.5,260,0.780995769606248,"2013 Q1"
"391",2013,2,"services","accommodation and food services","accommodation",34200,-700,6.3,4.1,3.7,0,-2.04678362573099,"2013 Q2"
"392",2013,2,"services","transportation and storage","air transport and supporting services",31800,300,3.2,1.6,0.9,30,0.943396226415094,"2013 Q2"
"393",2013,2,"services","professional services","architectural and engineering services",62400,1000,2.2,2.9,1.9,60,1.6025641025641,"2013 Q2"
"394",2013,2,"services","art, entertainment, recreation and other services","arts, entertainment and recreation",54200,-1100,3.8,2,2,10,-2.02952029520295,"2013 Q2"
"395",2013,2,"services","administrative and support services","cleaning and landscaping",53100,500,3.1,5,4.1,10,0.941619585687382,"2013 Q2"
"396",2013,2,"construction","construction","construction",461000,10600,1.3,3.7,2.2,250,2.29934924078091,"2013 Q2"
"397",2013,2,"manufacturing","manufacturing","electronic, computer and optical products",89100,600,2,1.9,1.4,560,0.673400673400673,"2013 Q2"
"398",2013,2,"manufacturing","manufacturing","fabricated metal products, machinery and equipment",112200,-300,1.8,2.1,1.8,210,-0.267379679144385,"2013 Q2"
"399",2013,2,"services","financial and insurance services","financial services",134600,1500,2.1,2.1,1.4,250,1.11441307578009,"2013 Q2"
"400",2013,2,"services","accommodation and food services","food and beverage services",188100,800,4,5.1,4.7,60,0.425305688463583,"2013 Q2"
"401",2013,2,"manufacturing","manufacturing","food, beverages and tobacco",39900,400,1.9,3.3,2.5,10,1.00250626566416,"2013 Q2"
"402",2013,2,"services","education, health and social services","health and social services",120300,2500,3.7,2.6,1.3,0,2.07813798836243,"2013 Q2"
"403",2013,2,"services","financial and insurance services","insurance services",29900,200,3.4,2.6,1.9,10,0.668896321070234,"2013 Q2"
"404",2013,2,"services","information and communications","it and other information services",74600,1900,2.5,3.2,2.5,90,2.54691689008043,"2013 Q2"
"405",2013,2,"services","transportation and storage","land transport and supporting services",87000,1300,2.6,2.4,1.4,0,1.49425287356322,"2013 Q2"
"406",2013,2,"services","professional services","legal, accounting and management services",99300,1600,2,2.4,1.9,140,1.61127895266868,"2013 Q2"
"407",2013,2,"services","administrative and support services","other administrative and support services",101000,900,2.9,4,3,50,0.891089108910891,"2013 Q2"
"408",2013,2,"services","art, entertainment, recreation and other services","other community, social and personal services",307900,2600,3.7,3.1,2.7,20,0.844430009743423,"2013 Q2"
"409",2013,2,"manufacturing","manufacturing","other manufacturing industries",62200,300,3,2.4,2,660,0.482315112540193,"2013 Q2"
"410",2013,2,"services","professional services","other professional services",49700,1200,3.4,2.8,2,20,2.41448692152917,"2013 Q2"
"411",2013,2,"services","transportation and storage","other transportation and storage services",63900,800,2.1,3,2.5,20,1.25195618153365,"2013 Q2"
"412",2013,2,"manufacturing","manufacturing","paper / rubber / plastic products and printing",38400,0,1.9,2.1,2,110,0,"2013 Q2"
"413",2013,2,"manufacturing","manufacturing","petroleum, chemical and pharmaceutical products",64400,200,2,1.9,1,10,0.31055900621118,"2013 Q2"
"414",2013,2,"services","education, health and social services","public administration and education",223000,1000,4.3,1,0.7,10,0.448430493273543,"2013 Q2"
"415",2013,2,"services","wholesale and retail trade","retail trade",161300,-500,4.3,5.6,4.6,20,-0.309981401115933,"2013 Q2"
"416",2013,2,"services","administrative and support services","security and investigation",38100,1100,3.5,5,4.2,0,2.88713910761155,"2013 Q2"
"417",2013,2,"services","information and communications","telecommunications, broadcasting and publishing",39400,300,2.4,2.3,1.8,130,0.761421319796954,"2013 Q2"
"418",2013,2,"manufacturing","manufacturing","transport equipment",130000,700,1.6,2.1,1.2,70,0.538461538461538,"2013 Q2"
"419",2013,2,"services","transportation and storage","water transport and supporting services",45400,800,2.4,2.7,1.7,30,1.76211453744493,"2013 Q2"
"420",2013,2,"services","wholesale and retail trade","wholesale trade",310000,2700,2.1,3.5,2.9,250,0.870967741935484,"2013 Q2"
"421",2013,3,"services","accommodation and food services","accommodation",35000,800,7.2,3.6,3.2,10,2.28571428571429,"2013 Q3"
"422",2013,3,"services","transportation and storage","air transport and supporting services",32100,300,2.5,1.5,1,50,0.934579439252336,"2013 Q3"
"423",2013,3,"services","professional services","architectural and engineering services",63300,900,2.3,2.6,1.9,20,1.4218009478673,"2013 Q3"
"424",2013,3,"services","art, entertainment, recreation and other services","arts, entertainment and recreation",53800,-400,3.7,2.4,2.2,10,-0.743494423791822,"2013 Q3"
"425",2013,3,"services","administrative and support services","cleaning and landscaping",53800,700,4.8,4.3,4.1,0,1.30111524163569,"2013 Q3"
"426",2013,3,"construction","construction","construction",471700,10700,1.3,3.1,1.7,260,2.26839092643629,"2013 Q3"
"427",2013,3,"manufacturing","manufacturing","electronic, computer and optical products",88800,-300,1.6,1.6,1.5,580,-0.337837837837838,"2013 Q3"
"428",2013,3,"manufacturing","manufacturing","fabricated metal products, machinery and equipment",112800,600,2.3,2.3,1.7,180,0.531914893617021,"2013 Q3"
"429",2013,3,"services","financial and insurance services","financial services",136600,2000,2.5,2.6,1.7,270,1.46412884333821,"2013 Q3"
"430",2013,3,"services","accommodation and food services","food and beverage services",188600,500,6.2,4.5,4,40,0.265111346765642,"2013 Q3"
"431",2013,3,"manufacturing","manufacturing","food, beverages and tobacco",40700,800,3.1,3.3,2.6,20,1.96560196560197,"2013 Q3"
"432",2013,3,"services","education, health and social services","health and social services",122100,1800,3.5,2,1.3,0,1.47420147420147,"2013 Q3"
"433",2013,3,"services","financial and insurance services","insurance services",30000,100,2.6,2.7,1.8,10,0.333333333333333,"2013 Q3"
"434",2013,3,"services","information and communications","it and other information services",75600,1000,3.4,3.4,2.4,70,1.32275132275132,"2013 Q3"
"435",2013,3,"services","transportation and storage","land transport and supporting services",87400,400,3.1,2.2,1.5,0,0.45766590389016,"2013 Q3"
"436",2013,3,"services","professional services","legal, accounting and management services",102100,2800,2.5,3.4,2.1,110,2.74240940254652,"2013 Q3"
"437",2013,3,"services","administrative and support services","other administrative and support services",101100,100,3.9,4.6,3.2,60,0.0989119683481701,"2013 Q3"
"438",2013,3,"services","art, entertainment, recreation and other services","other community, social and personal services",310000,2100,5.6,2.8,2.6,30,0.67741935483871,"2013 Q3"
"439",2013,3,"manufacturing","manufacturing","other manufacturing industries",62000,-200,2.2,2.1,1.7,230,-0.32258064516129,"2013 Q3"
"440",2013,3,"services","professional services","other professional services",50600,900,3,2.8,1.8,60,1.77865612648221,"2013 Q3"
"441",2013,3,"services","transportation and storage","other transportation and storage services",64200,300,2.6,3,2.5,20,0.467289719626168,"2013 Q3"
"442",2013,3,"manufacturing","manufacturing","paper / rubber / plastic products and printing",38100,-300,1.7,1.9,1.8,150,-0.78740157480315,"2013 Q3"
"443",2013,3,"manufacturing","manufacturing","petroleum, chemical and pharmaceutical products",64800,400,1.8,2,1.1,40,0.617283950617284,"2013 Q3"
"444",2013,3,"services","education, health and social services","public administration and education",223700,700,4.2,1.6,0.8,0,0.312919088064372,"2013 Q3"
"445",2013,3,"services","wholesale and retail trade","retail trade",161800,500,5.5,4.5,4,0,0.30902348578492,"2013 Q3"
"446",2013,3,"services","administrative and support services","security and investigation",38200,100,5.2,4.5,3.9,0,0.261780104712042,"2013 Q3"
"447",2013,3,"services","information and communications","telecommunications, broadcasting and publishing",40100,700,2.1,2.6,1.7,50,1.74563591022444,"2013 Q3"
"448",2013,3,"manufacturing","manufacturing","transport equipment",132500,2500,1.7,2.1,1.2,60,1.88679245283019,"2013 Q3"
"449",2013,3,"services","transportation and storage","water transport and supporting services",45900,500,2.2,2.5,2.1,50,1.08932461873638,"2013 Q3"
"450",2013,3,"services","wholesale and retail trade","wholesale trade",312100,2100,2.4,2.5,1.9,310,0.672861262415892,"2013 Q3"
"451",2013,4,"services","accommodation and food services","accommodation",35700,700,6.5,2.6,2.3,0,1.96078431372549,"2013 Q4"
"452",2013,4,"services","transportation and storage","air transport and supporting services",32400,300,3.3,1.5,0.8,0,0.925925925925926,"2013 Q4"
"453",2013,4,"services","professional services","architectural and engineering services",63900,600,1.5,1.8,1.2,30,0.938967136150235,"2013 Q4"
"454",2013,4,"services","art, entertainment, recreation and other services","arts, entertainment and recreation",54700,900,3.8,2,1.7,10,1.64533820840951,"2013 Q4"
"455",2013,4,"services","administrative and support services","cleaning and landscaping",54700,900,4.2,5.2,4.4,0,1.64533820840951,"2013 Q4"
"456",2013,4,"construction","construction","construction",479300,7600,1.3,2.8,1.9,480,1.58564573336115,"2013 Q4"
"457",2013,4,"manufacturing","manufacturing","electronic, computer and optical products",88300,-500,2,1.1,0.9,860,-0.566251415628539,"2013 Q4"
"458",2013,4,"manufacturing","manufacturing","fabricated metal products, machinery and equipment",113300,500,1.9,1.7,1.3,100,0.441306266548985,"2013 Q4"
"459",2013,4,"services","financial and insurance services","financial services",137600,1000,2.3,1.9,1.1,400,0.726744186046512,"2013 Q4"
"460",2013,4,"services","accommodation and food services","food and beverage services",194800,6200,5.8,5.5,4,70,3.18275154004107,"2013 Q4"
"461",2013,4,"manufacturing","manufacturing","food, beverages and tobacco",41700,1000,3.2,3,2.2,0,2.39808153477218,"2013 Q4"
"462",2013,4,"services","education, health and social services","health and social services",124000,1900,4,1.7,1,10,1.53225806451613,"2013 Q4"
"463",2013,4,"services","financial and insurance services","insurance services",30300,300,2.3,2.2,1.5,0,0.99009900990099,"2013 Q4"
"464",2013,4,"services","information and communications","it and other information services",76400,800,3.7,2.8,1.9,90,1.04712041884817,"2013 Q4"
"465",2013,4,"services","transportation and storage","land transport and supporting services",87900,500,3.1,1.8,1.2,0,0.568828213879408,"2013 Q4"
"466",2013,4,"services","professional services","legal, accounting and management services",103700,1600,1.9,2,1.5,180,1.54291224686596,"2013 Q4"
"467",2013,4,"services","administrative and support services","other administrative and support services",103700,2600,4.1,4.9,3.2,80,2.50723240115718,"2013 Q4"
"468",2013,4,"services","art, entertainment, recreation and other services","other community, social and personal services",313200,3200,4.1,2,1.8,50,1.02171136653895,"2013 Q4"
"469",2013,4,"manufacturing","manufacturing","other manufacturing industries",62000,0,1.9,1.8,1.4,170,0,"2013 Q4"
"470",2013,4,"services","professional services","other professional services",51000,400,3.4,1.6,1.4,30,0.784313725490196,"2013 Q4"
"471",2013,4,"services","transportation and storage","other transportation and storage services",64700,500,2.6,2.6,2.2,100,0.772797527047913,"2013 Q4"
"472",2013,4,"manufacturing","manufacturing","paper / rubber / plastic products and printing",37900,-200,1.7,1.4,1.4,80,-0.527704485488127,"2013 Q4"
"473",2013,4,"manufacturing","manufacturing","petroleum, chemical and pharmaceutical products",65000,200,1.6,1.6,0.9,170,0.307692307692308,"2013 Q4"
"474",2013,4,"services","education, health and social services","public administration and education",225400,1700,3.6,0.7,0.5,10,0.754214729370009,"2013 Q4"
"475",2013,4,"services","wholesale and retail trade","retail trade",167700,5900,4.8,5.5,3.7,70,3.51818723911747,"2013 Q4"
"476",2013,4,"services","administrative and support services","security and investigation",38100,-100,5,4.2,3.7,0,-0.26246719160105,"2013 Q4"
"477",2013,4,"services","information and communications","telecommunications, broadcasting and publishing",40200,100,2.8,2.3,1.4,180,0.248756218905473,"2013 Q4"
"478",2013,4,"manufacturing","manufacturing","transport equipment",131700,-800,1.3,1.4,1,60,-0.607441154138193,"2013 Q4"
"479",2013,4,"services","transportation and storage","water transport and supporting services",46100,200,1.5,1.5,1,50,0.433839479392625,"2013 Q4"
"480",2013,4,"services","wholesale and retail trade","wholesale trade",314500,2400,2.2,2.4,1.8,360,0.763116057233704,"2013 Q4"
"481",2014,1,"services","accommodation and food services","accommodation",35700,0,6.7,3,2.7,240,0,"2014 Q1"
"482",2014,1,"services","transportation and storage","air transport and supporting services",32400,0,2.2,1.3,1.2,10,0,"2014 Q1"
"483",2014,1,"services","professional services","architectural and engineering services",64000,100,1.7,2,1.7,50,0.15625,"2014 Q1"
"484",2014,1,"services","art, entertainment, recreation and other services","arts, entertainment and recreation",55100,400,3.5,2.6,1.9,0,0.725952813067151,"2014 Q1"
"485",2014,1,"services","administrative and support services","cleaning and landscaping",56200,1500,4.5,5.2,4.4,10,2.66903914590747,"2014 Q1"
"486",2014,1,"construction","construction","construction",485600,6300,1.1,2.5,2,400,1.29736408566722,"2014 Q1"
"487",2014,1,"manufacturing","manufacturing","electronic, computer and optical products",86400,-1900,2.5,1.4,1.7,180,-2.19907407407407,"2014 Q1"
"488",2014,1,"manufacturing","manufacturing","fabricated metal products, machinery and equipment",114800,1400,1.7,2.1,1.6,200,1.21951219512195,"2014 Q1"
"489",2014,1,"services","financial and insurance services","financial services",137700,200,2.9,1.8,1,250,0.145243282498184,"2014 Q1"
"490",2014,1,"services","accommodation and food services","food and beverage services",195700,900,5.5,4.7,4.7,30,0.459887583035258,"2014 Q1"
"491",2014,1,"manufacturing","manufacturing","food, beverages and tobacco",42400,800,3.1,2.8,2.7,50,1.88679245283019,"2014 Q1"
"492",2014,1,"services","education, health and social services","health and social services",126000,2100,4.5,2.1,1.3,0,1.66666666666667,"2014 Q1"
"493",2014,1,"services","financial and insurance services","insurance services",30800,500,3.4,2.5,1.4,0,1.62337662337662,"2014 Q1"
"494",2014,1,"services","information and communications","it and other information services",77500,1100,4.2,3.1,2,220,1.41935483870968,"2014 Q1"
"495",2014,1,"services","transportation and storage","land transport and supporting services",88500,600,3.5,2,1.5,0,0.677966101694915,"2014 Q1"
"496",2014,1,"services","professional services","legal, accounting and management services",105100,1500,2.7,1.9,1.5,250,1.42721217887726,"2014 Q1"
"497",2014,1,"services","administrative and support services","other administrative and support services",105500,1800,4.8,5.5,3.7,50,1.70616113744076,"2014 Q1"
"498",2014,1,"services","art, entertainment, recreation and other services","other community, social and personal services",317100,3900,4,2.2,2.2,20,1.22989593188269,"2014 Q1"
"499",2014,1,"manufacturing","manufacturing","other manufacturing industries",62800,900,2.1,1.9,1.7,200,1.43312101910828,"2014 Q1"
"500",2014,1,"services","professional services","other professional services",52600,1700,3.5,1.9,1.5,40,3.2319391634981,"2014 Q1"
"501",2014,1,"services","transportation and storage","other transportation and storage services",65800,1100,3.3,3.1,2.8,40,1.67173252279635,"2014 Q1"
"502",2014,1,"manufacturing","manufacturing","paper / rubber / plastic products and printing",37800,-100,2,2.1,2,70,-0.264550264550265,"2014 Q1"
"503",2014,1,"manufacturing","manufacturing","petroleum, chemical and pharmaceutical products",64600,-300,2,1.6,0.9,60,-0.464396284829721,"2014 Q1"
"504",2014,1,"services","education, health and social services","public administration and education",230100,4700,3.8,1,0.8,10,2.0425901781834,"2014 Q1"
"505",2014,1,"services","wholesale and retail trade","retail trade",167000,-600,5,4.7,4.7,30,-0.359281437125749,"2014 Q1"
"506",2014,1,"services","administrative and support services","security and investigation",38700,600,4.5,4.8,4,40,1.55038759689922,"2014 Q1"
"507",2014,1,"services","information and communications","telecommunications, broadcasting and publishing",39900,-300,2.5,2.4,1.5,120,-0.75187969924812,"2014 Q1"
"508",2014,1,"manufacturing","manufacturing","transport equipment",131200,-500,1.7,1.2,1.1,60,-0.38109756097561,"2014 Q1"
"509",2014,1,"services","transportation and storage","water transport and supporting services",46400,400,2.3,1.5,1,70,0.862068965517241,"2014 Q1"
"510",2014,1,"services","wholesale and retail trade","wholesale trade",313700,-800,2.5,2.3,2.3,430,-0.255020720433535,"2014 Q1"
"511",2014,2,"services","accommodation and food services","accommodation",35400,-300,7.8,3.7,3.6,0,-0.847457627118644,"2014 Q2"
"512",2014,2,"services","transportation and storage","air transport and supporting services",32300,-100,2.2,1.4,0.9,0,-0.309597523219814,"2014 Q2"
"513",2014,2,"services","professional services","architectural and engineering services",64400,400,1.9,2.4,2.1,20,0.62111801242236,"2014 Q2"
"514",2014,2,"services","art, entertainment, recreation and other services","arts, entertainment and recreation",54700,-400,3.7,2.4,2.5,10,-0.731261425959781,"2014 Q2"
"515",2014,2,"services","administrative and support services","cleaning and landscaping",56500,300,4.7,6.4,5.4,0,0.530973451327434,"2014 Q2"
"516",2014,2,"construction","construction","construction",488900,3300,1.2,3.1,2.1,280,0.674984659439558,"2014 Q2"
"517",2014,2,"manufacturing","manufacturing","electronic, computer and optical products",86400,0,3.1,2,1.6,240,0,"2014 Q2"
"518",2014,2,"manufacturing","manufacturing","fabricated metal products, machinery and equipment",115300,500,2.1,1.9,1.9,190,0.433651344319167,"2014 Q2"
"519",2014,2,"services","financial and insurance services","financial services",139400,1700,3.1,2.4,1.5,340,1.21951219512195,"2014 Q2"
"520",2014,2,"services","accommodation and food services","food and beverage services",196800,1100,5.6,5.2,5.2,40,0.558943089430894,"2014 Q2"
"521",2014,2,"manufacturing","manufacturing","food, beverages and tobacco",42600,200,2,3,2.7,0,0.469483568075117,"2014 Q2"
"522",2014,2,"services","education, health and social services","health and social services",128900,2900,5.5,2.6,1.3,0,2.24980605120248,"2014 Q2"
"523",2014,2,"services","financial and insurance services","insurance services",31900,1100,2.9,2.7,2.1,20,3.44827586206897,"2014 Q2"
"524",2014,2,"services","information and communications","it and other information services",79000,1500,4.1,3.4,2,80,1.89873417721519,"2014 Q2"
"525",2014,2,"services","transportation and storage","land transport and supporting services",89200,700,3.8,2.3,1.8,0,0.7847533632287,"2014 Q2"
"526",2014,2,"services","professional services","legal, accounting and management services",106500,1400,2.4,2.2,1.8,230,1.31455399061033,"2014 Q2"
"527",2014,2,"services","administrative and support services","other administrative and support services",108800,3300,3.6,5.5,3.5,40,3.03308823529412,"2014 Q2"
"528",2014,2,"services","art, entertainment, recreation and other services","other community, social and personal services",319900,2800,4.3,2.5,2.1,10,0.87527352297593,"2014 Q2"
"529",2014,2,"manufacturing","manufacturing","other manufacturing industries",63000,200,2.3,2.3,2,160,0.317460317460317,"2014 Q2"
"530",2014,2,"services","professional services","other professional services",54200,1600,3.2,2.4,1.8,20,2.9520295202952,"2014 Q2"
"531",2014,2,"services","transportation and storage","other transportation and storage services",66800,1000,3.1,3.6,2.9,30,1.49700598802395,"2014 Q2"
"532",2014,2,"manufacturing","manufacturing","paper / rubber / plastic products and printing",37600,-200,2.7,2,2,20,-0.531914893617021,"2014 Q2"
"533",2014,2,"manufacturing","manufacturing","petroleum, chemical and pharmaceutical products",62700,-1900,1.6,1.7,1.2,30,-3.03030303030303,"2014 Q2"
"534",2014,2,"services","education, health and social services","public administration and education",230200,100,4.3,0.9,0.7,30,0.0434404865334492,"2014 Q2"
"535",2014,2,"services","wholesale and retail trade","retail trade",167300,300,4.9,5.3,4.5,10,0.17931858936043,"2014 Q2"
"536",2014,2,"services","administrative and support services","security and investigation",39300,600,5.1,5.2,4.4,0,1.52671755725191,"2014 Q2"
"537",2014,2,"services","information and communications","telecommunications, broadcasting and publishing",40300,400,2.4,2.5,1.6,60,0.992555831265509,"2014 Q2"
"538",2014,2,"manufacturing","manufacturing","transport equipment",129200,-2000,1.8,1.4,1.4,60,-1.54798761609907,"2014 Q2"
"539",2014,2,"services","transportation and storage","water transport and supporting services",47100,700,3.2,2.1,1.3,80,1.48619957537155,"2014 Q2"
"540",2014,2,"services","wholesale and retail trade","wholesale trade",315600,1900,2.5,2.8,2.3,360,0.602027883396705,"2014 Q2"
"541",2014,3,"services","accommodation and food services","accommodation",36900,1500,8,4,3.2,0,4.0650406504065,"2014 Q3"
"542",2014,3,"services","transportation and storage","air transport and supporting services",31700,-600,2.8,0.9,1.3,0,-1.89274447949527,"2014 Q3"
"543",2014,3,"services","professional services","architectural and engineering services",64800,400,2.5,2.8,2.1,80,0.617283950617284,"2014 Q3"
"544",2014,3,"services","art, entertainment, recreation and other services","arts, entertainment and recreation",55000,300,2.4,2.5,2.2,0,0.545454545454546,"2014 Q3"
"545",2014,3,"services","administrative and support services","cleaning and landscaping",57400,900,4.2,5.4,4.6,10,1.56794425087108,"2014 Q3"
"546",2014,3,"construction","construction","construction",492500,3600,1.2,2.7,1.8,210,0.730964467005076,"2014 Q3"
"547",2014,3,"manufacturing","manufacturing","electronic, computer and optical products",87400,1000,2.3,2.1,1.5,190,1.1441647597254,"2014 Q3"
"548",2014,3,"manufacturing","manufacturing","fabricated metal products, machinery and equipment",115300,0,2.4,2,1.6,700,0,"2014 Q3"
"549",2014,3,"services","financial and insurance services","financial services",141800,2400,3,2.6,1.6,340,1.69252468265162,"2014 Q3"
"550",2014,3,"services","accommodation and food services","food and beverage services",197600,800,5.9,5,4.5,20,0.404858299595142,"2014 Q3"
"551",2014,3,"manufacturing","manufacturing","food, beverages and tobacco",43200,600,3.6,3.5,3.3,0,1.38888888888889,"2014 Q3"
"552",2014,3,"services","education, health and social services","health and social services",130800,1900,4.6,2.1,1.4,0,1.4525993883792,"2014 Q3"
"553",2014,3,"services","financial and insurance services","insurance services",33100,1200,2.5,2.8,2.2,30,3.62537764350453,"2014 Q3"
"554",2014,3,"services","information and communications","it and other information services",81300,2300,4.5,4.1,2,50,2.8290282902829,"2014 Q3"
"555",2014,3,"services","transportation and storage","land transport and supporting services",90300,1100,3.1,2.3,1.6,0,1.21816168327796,"2014 Q3"
"556",2014,3,"services","professional services","legal, accounting and management services",109100,2600,3.3,3.4,2.1,340,2.38313473877177,"2014 Q3"
"557",2014,3,"services","administrative and support services","other administrative and support services",108000,-800,4.6,5.4,3.6,110,-0.740740740740741,"2014 Q3"
"558",2014,3,"services","art, entertainment, recreation and other services","other community, social and personal services",323200,3300,4.8,2.8,2.3,20,1.0210396039604,"2014 Q3"
"559",2014,3,"manufacturing","manufacturing","other manufacturing industries",63200,200,2.3,2.1,1.6,20,0.316455696202532,"2014 Q3"
"560",2014,3,"services","professional services","other professional services",55300,1100,2.8,2.3,1.9,40,1.98915009041591,"2014 Q3"
"561",2014,3,"services","transportation and storage","other transportation and storage services",67300,500,3.2,3.3,2.7,100,0.742942050520059,"2014 Q3"
"562",2014,3,"manufacturing","manufacturing","paper / rubber / plastic products and printing",37400,-200,2.1,2,2.1,10,-0.53475935828877,"2014 Q3"
"563",2014,3,"manufacturing","manufacturing","petroleum, chemical and pharmaceutical products",62500,-200,1.9,2.4,1.9,40,-0.32,"2014 Q3"
"564",2014,3,"services","education, health and social services","public administration and education",231600,1400,3.9,1.4,0.8,10,0.604490500863558,"2014 Q3"
"565",2014,3,"services","wholesale and retail trade","retail trade",170300,3000,6,4.2,3.4,430,1.76159718144451,"2014 Q3"
"566",2014,3,"services","administrative and support services","security and investigation",40100,800,5.5,4,3.3,70,1.99501246882793,"2014 Q3"
"567",2014,3,"services","information and communications","telecommunications, broadcasting and publishing",40600,300,2.1,2.6,1.5,90,0.738916256157635,"2014 Q3"
"568",2014,3,"manufacturing","manufacturing","transport equipment",128300,-900,1.7,1.3,1.2,300,-0.701480904130943,"2014 Q3"
"569",2014,3,"services","transportation and storage","water transport and supporting services",47500,400,1.6,2.1,1.3,30,0.842105263157895,"2014 Q3"
"570",2014,3,"services","wholesale and retail trade","wholesale trade",317800,2200,2.8,2.4,2,240,0.692259282567653,"2014 Q3"
"571",2014,4,"services","accommodation and food services","accommodation",36300,-600,7.6,2.8,2.3,0,-1.65289256198347,"2014 Q4"
