"","SSOC","Year","Industry","Level","Occupation","Basic Wage -  25th Percentile ($)","Basic Wage -  Median  ($)","Basic Wage -  75th Percentile ($)","Gross Wage -  25th Percentile ($)","Gross Wage -  Median  ($)","Gross Wage -  75th Percentile ($)"
"260","4110",2019,"transportation and storage","clerical support workers","General office clerk","2468","2870","3394","2707","3170","3776"
"261","4224",2019,"transportation and storage","clerical support workers","Receptionist, customer service and information clerk","2064","2485","2870","2452","3023","3616"
"262","41201",2019,"transportation and storage","clerical support workers","Secretary","3850","4634","5399","3970","4773","5758"
"263","4321",2019,"transportation and storage","clerical support workers","Stock clerk","1800","2069","2350","2000","2363","2811"
"264","4323",2019,"transportation and storage","clerical support workers","Transport clerk","2100","2421","2800","2435","2922","3394"
"265","5160",2019,"transportation and storage","service and sales workers","Mail carrier and sorting worker","1540","1929","2426","1723","2160","2597"
"266","52491",2019,"transportation and storage","service and sales workers","Petrol station attendant","1798","2203","2350","2636","2816","3016"
"267","51601",2019,"transportation and storage","service and sales workers","Postal/Courier service supervisor","2692","2932","3630","2826","3587","4640"
"268","52440",2019,"transportation and storage","service and sales workers","Telemarketer","1850","2750","3150","4808","5940","6971"
"269","5112",2019,"transportation and storage","service and sales workers","Transport service inspector and related worker","2127","2337","2526","2838","3139","3794"
"270","72311",2019,"transportation and storage","craftsmen and related trades workers","Motor vehicle mechanic","2295","2678","2975","2688","3255","3785"
"271","72000",2019,"transportation and storage","craftsmen and related trades workers","Supervisor/General foreman (metal, machinery and related trades)","2885","3377","3642","3829","4225","4546"
"272","83311",2019,"transportation and storage","plant and machine operators and assemblers","Bus driver","2077","2470","2830","3277","3870","4490"
"273","83222",2019,"transportation and storage","plant and machine operators and assemblers","Chauffeur","2365","2365","2400","2730","3051","3603"
"274","8343",2019,"transportation and storage","plant and machine operators and assemblers","Crane, hoist and related equipment operator","2286","2550","2725","3139","3460","3882"
"275","83431",2019,"transportation and storage","plant and machine operators and assemblers","Crane/Hoist operator","2000","2800","3300","3684","4530","5375"
"276","83441",2019,"transportation and storage","plant and machine operators and assemblers","Fork lift truck operator","500","1150","1400","1108","1400","2035"
"277","83321",2019,"transportation and storage","plant and machine operators and assemblers","Lorry driver","1250","1800","2028","1912","2331","2939"
"278","83000",2019,"transportation and storage","plant and machine operators and assemblers","Mobile machinery supervisor and general foreman","2272","2521","2881","2691","3111","3582"
"279","83210",2019,"transportation and storage","plant and machine operators and assemblers","Motorcycle delivery man","1185","1249","2000","1765","1935","2599"
"280","83322",2019,"transportation and storage","plant and machine operators and assemblers","Trailer-truck driver ","1693","1849","2000","2545","2851","3145"
"281","83223",2019,"transportation and storage","plant and machine operators and assemblers","Van driver","1363","1580","2050","1760","2103","2435"
"282","93334",2019,"transportation and storage","cleaners, labourers and related workers","Godown labourer","1700","1977","2201","1920","2246","2530"
"283","93201",2019,"transportation and storage","cleaners, labourers and related workers","Hand packer","1220","1395","1582","1220","1400","1778"
"284","93335",2019,"transportation and storage","cleaners, labourers and related workers","Lorry attendant","1200","1500","1681","1530","1841","2300"
"285","91130",2019,"transportation and storage","cleaners, labourers and related workers","Office cleaner","1200","1220","1220","1200","1220","1220"
"286","12112",2019,"accommodation and food services","managers","Administration manager","3000","4000","5100","3000","4000","5660"
"287","12111",2019,"accommodation and food services","managers","Budgeting and financial accounting manager ","4614","6050","7800","4700","6200","8145"
"288","12212",2019,"accommodation and food services","managers","Business development manager","2500","4000","5212","2700","4000","5212"
"289","14122",2019,"accommodation and food services","managers","Catering services manager","2700","4812","7099","2775","4974","7159"
"290","11203",2019,"accommodation and food services","managers","Chief operating officer/General Manager","4506","7000","11043","5000","7000","11117"
"291","14111",2019,"accommodation and food services","managers","Hotel operations/Lodging services manager","3087","3700","4850","3183","3700","4895"
"292","1212",2019,"accommodation and food services","managers","Human resource manager","4000","4770","6299","4000","5002","6520"
"293","11201",2019,"accommodation and food services","managers","Managing director/Chief executive officer","2000","3500","6875","2000","3500","6975"
"294","12191",2019,"accommodation and food services","managers","Premises and facilities maintenance manager ","3500","4738","6873","3500","4813","6882"
"295","14121",2019,"accommodation and food services","managers","Restaurant manager","2400","3000","4270","2650","3373","4500"
"296","12211",2019,"accommodation and food services","managers","Sales and marketing manager","3500","4758","5952","3880","5040","6500"
"297","33130",2019,"accommodation and food services","associate professionals and technicians","Accounting associate professional ","2563","2933","3415","2600","3000","3550"
"298","3323",2019,"accommodation and food services","associate professionals and technicians","Buyer and purchasing agent","2150","2800","3280","2150","2845","3346"
"299","34340",2019,"accommodation and food services","associate professionals and technicians","Chef","2510","3300","4433","2858","3600","4600"
"300","3322",2019,"accommodation and food services","associate professionals and technicians","Commercial and marketing sales executive","2203","2600","3000","2300","2668","3106"
"301","3345",2019,"accommodation and food services","associate professionals and technicians","Human resource associate professional","2600","2900","3300","2610","3060","3500"
"302","33491",2019,"accommodation and food services","associate professionals and technicians","Management executive","2225","2650","3000","2385","2800","3320"
"303","3115",2019,"accommodation and food services","associate professionals and technicians","Mechanical engineering technician","2000","2289","2630","2401","2904","3449"
"304","33492",2019,"accommodation and food services","associate professionals and technicians","Operations officer ","1656","2326","2835","2062","2540","3020"
"305","4311",2019,"accommodation and food services","clerical support workers","Accounting and bookkeeping clerk","1300","2200","2400","1350","2238","2540"
"306","4110",2019,"accommodation and food services","clerical support workers","General office clerk","1200","1350","2000","1200","1481","2162"
"307","4224",2019,"accommodation and food services","clerical support workers","Receptionist, customer service and information clerk","1800","2038","2421","1963","2241","2700"
"308","41201",2019,"accommodation and food services","clerical support workers","Secretary","2650","3490","4300","2795","3598","4521"
"309","51322",2019,"accommodation and food services","service and sales workers","Barista","1420","1510","1610","1603","1722","2055"
"310","51311",2019,"accommodation and food services","service and sales workers","Captain waiter/Waiter supervisor","1735","2032","2564","1916","2452","2840"
"311","52302",2019,"accommodation and food services","service and sales workers","Cashier","1200","1200","1500","1200","1200","1780"
"312","51200",2019,"accommodation and food services","service and sales workers","Cook","1500","1784","2200","1645","2200","2915"
"313","52492",2019,"accommodation and food services","service and sales workers","Food service counter attendant","900","1138","1320","1458","1663","2016"
"314","5150",2019,"accommodation and food services","service and sales workers","Housekeeper and related worker","2160","2730","4040","2261","3039","4175"
"315","5414",2019,"accommodation and food services","service and sales workers","Security guard","1810","2000","2240","2000","2171","2502"
"316","51312",2019,"accommodation and food services","service and sales workers","Waiter","1200","1500","1700","1300","1750","2419"
"317","7512",2019,"accommodation and food services","craftsmen and related trades workers","Baker, pastry and confectionery maker","1350","1350","1499","2350","2473","2716"
"318","71331",2019,"accommodation and food services","craftsmen and related trades workers","Building maintenance worker","1702","2020","2241","1868","2129","2434"
"319","83223",2019,"accommodation and food services","plant and machine operators and assemblers","Van driver","1100","1200","1300","1200","1300","1551"
"320","9112",2019,"accommodation and food services","cleaners, labourers and related workers","Cleaner and helper in hotels and related establishments","1425","1599","1817","1584","1788","2028"
"321","91152",2019,"accommodation and food services","cleaners, labourers and related workers","Dish washer/Plate collector/Table-top cleaner","1200","1300","1400","1200","1350","1656"
"322","91151",2019,"accommodation and food services","cleaners, labourers and related workers","Food and beverage establishment cleaner ","890","1200","1220","1200","1200","1300"
"323","94102",2019,"accommodation and food services","cleaners, labourers and related workers","Food/Drink stall assistant","1200","1200","1300","1200","1200","1306"
"324","91210",2019,"accommodation and food services","cleaners, labourers and related workers","Hand launderer/Presser (non-household)","1346","1422","1768","1378","1502","1907"
"325","94101",2019,"accommodation and food services","cleaners, labourers and related workers","Kitchen assistant","1200","1400","1535","1200","1655","2434"
"326","9621",2019,"accommodation and food services","cleaners, labourers and related workers","Porter and related worker","1500","1766","2069","1674","1875","2187"
"327","12112",2019,"information and communications","managers","Administration manager","4360","5050","7181","4540","5050","7181"
"328","12111",2019,"information and communications","managers","Budgeting and financial accounting manager ","5709","7280","10812","5709","7310","10812"
"329","12212",2019,"information and communications","managers","Business development manager","4500","7500","10350","4940","8000","11700"
"330","12241",2019,"information and communications","managers","Customer service manager","4830","6195","8338","5040","6195","8338"
"331","1212",2019,"information and communications","managers","Human resource manager","5470","8333","14438","5612","8367","14438"
"332","13304",2019,"information and communications","managers","IT service manager","8034","9547","11607","8165","9690","11711"
"333","11201",2019,"information and communications","managers","Managing director/Chief executive officer","8100","13500","21938","8170","13500","23160"
"334","13303",2019,"information and communications","managers","Network and communications manager","6130","7726","9532","6295","7760","9532"
"335","12211",2019,"information and communications","managers","Sales and marketing manager","5165","6537","8944","5299","6815","9600"
"336","13302",2019,"information and communications","managers","Software and applications manager","6832","8064","10531","6832","8320","10850"
"337","13291",2019,"information and communications","managers","Technical/Engineering services manager ","6984","8165","10989","6984","8165","11339"
"338","25140",2019,"information and communications","professionals","Applications/Systems programmer","4000","4950","5550","4050","5000","5600"
"339","2641",2019,"information and communications","professionals","Author and related writer","3313","4155","5126","3313","4163","5215"
"340","26416",2019,"information and communications","professionals","Book editor","3197","3761","4510","3197","3761","4510"
"341","26545",2019,"information and communications","professionals","Editor (radio, television and video)","3500","3995","4840","3500","4063","4971"
"342","21661",2019,"information and communications","professionals","Graphic designer","2700","3200","3758","2740","3200","3833"
"343","25160",2019,"information and communications","professionals","Information technology project manager","4970","6300","8038","5090","7150","8200"
"344","25240",2019,"information and communications","professionals","Information technology security specialist","3800","4500","5635","3865","4670","5870"
"345","25151",2019,"information and communications","professionals","Information technology testing/Quality assurance specialist","3000","4034","5000","4224","4984","6087"
"346","2642",2019,"information and communications","professionals","Journalist","4030","5640","7660","4130","6300","9000"
"347","25220",2019,"information and communications","professionals","Network, servers and computer systems administrator","3700","4000","5585","4000","5200","6050"
"348","25230",2019,"information and communications","professionals","Network/Infrastructure architect, engineer and specialist","3600","4599","5213","3900","4870","5442"
"349","26541",2019,"information and communications","professionals","Producer (stage, film, television, computer games, video and radio)","3300","4573","6500","3390","4780","6930"
"350","2512",2019,"information and communications","professionals","Software, web and multimedia developer","3974","4808","5800","4105","5070","6300"
"351","2511",2019,"information and communications","professionals","Systems analyst","4532","5599","6785","4640","5713","6920"
"352","21530",2019,"information and communications","professionals","Telecommunications engineer","3692","5058","5960","4107","5540","6521"
"353","33130",2019,"information and communications","associate professionals and technicians","Accounting associate professional ","3106","3663","4346","3150","3800","4346"
"354","33222",2019,"information and communications","associate professionals and technicians","After sales adviser/Client account service executive","2900","3600","4479","3017","3977","4917"
"355","3521",2019,"information and communications","associate professionals and technicians","Broadcasting technician and audio-visual operator","2720","3620","4570","3120","3826","4870"
"356","33221",2019,"information and communications","associate professionals and technicians","Business development executive","3300","3458","3750","3333","3750","4281"
"357","3322",2019,"information and communications","associate professionals and technicians","Commercial and marketing sales executive","3000","3450","4000","3167","3695","4540"
"358","35120",2019,"information and communications","associate professionals and technicians","Computer technician ","2525","3570","6584","2740","4365","6703"
"359","3345",2019,"information and communications","associate professionals and technicians","Human resource associate professional","4000","4281","5327","4000","4308","5327"
"360","33491",2019,"information and communications","associate professionals and technicians","Management executive","3095","3796","4737","3105","3845","4792"
"361","33492",2019,"information and communications","associate professionals and technicians","Operations officer ","2978","3394","4116","2978","3550","4356"
"362","35215",2019,"information and communications","associate professionals and technicians","Sound recording equipment operator","3160","4010","4860","3530","4380","5106"
"363","4311",2019,"information and communications","clerical support workers","Accounting and bookkeeping clerk","2610","2900","3200","2610","2945","3257"
"364","40000",2019,"information and communications","clerical support workers","Clerical supervisor","2285","2822","3686","2736","3399","4013"
"365","4110",2019,"information and communications","clerical support workers","General office clerk","1615","2000","2940","1903","2205","3089"
"366","4224",2019,"information and communications","clerical support workers","Receptionist, customer service and information clerk","2668","3013","3524","2865","3386","3969"
"367","41201",2019,"information and communications","clerical support workers","Secretary","3446","4310","5721","3446","4310","5721"
"368","12112",2019,"financial and insurance services","managers","Administration manager","6240","9630","16050","6320","9830","16050"
"369","12220",2019,"financial and insurance services","managers","Advertising/Public relations manager","6190","8640","14000","6210","8640","14923"
"370","12111",2019,"financial and insurance services","managers","Budgeting and financial accounting manager ","6800","9040","14100","6850","9150","14320"
"371","12212",2019,"financial and insurance services","managers","Business development manager","5770","8495","13213","6150","8848","14210"
"372","11203",2019,"financial and insurance services","managers","Chief operating officer/General Manager","18646","25167","32530","20568","27855","36600"
"373","12241",2019,"financial and insurance services","managers","Customer service manager","4490","5800","8400","4575","6011","8884"
"374","13460",2019,"financial and insurance services","managers","Financial/Insurance services manager ","6600","9204","14000","6690","9395","14711"
"375","1212",2019,"financial and insurance services","managers","Human resource manager","6183","9521","15043","6250","9618","15500"
"376","13304",2019,"financial and insurance services","managers","IT service manager","7210","8972","13000","7240","9460","13000"
"377","11201",2019,"financial and insurance services","managers","Managing director/Chief executive officer","15000","26457","38333","15000","29484","40059"
"378","13303",2019,"financial and insurance services","managers","Network and communications manager","6456","9100","11900","6630","9147","11966"
"379","12130",2019,"financial and insurance services","managers","Policy and planning manager","8220","11000","19562","8228","11060","20000"
"380","12191",2019,"financial and insurance services","managers","Premises and facilities maintenance manager ","7361","10324","14592","7444","10362","14679"
"381","12211",2019,"financial and insurance services","managers","Sales and marketing manager","6769","10000","16750","6909","10360","16825"
"382","13302",2019,"financial and insurance services","managers","Software and applications manager","8225","10717","14573","8257","10782","14573"
"383","13291",2019,"financial and insurance services","managers","Technical/Engineering services manager ","9196","11397","14956","9268","11550","15056"
"384","24111",2019,"financial and insurance services","professionals","Accountant ","4310","4800","5870","4462","4865","5870"
"385","25140",2019,"financial and insurance services","professionals","Applications/Systems programmer","4275","5320","6148","4275","5320","6314"
"386","24132",2019,"financial and insurance services","professionals","Compliance officer/Risk analyst (financial)","6300","9626","14932","6345","9676","15104"
"387","24131",2019,"financial and insurance services","professionals","Financial analyst ","4624","6083","8333","4624","6250","8400"
"388","24120",2019,"financial and insurance services","professionals","Financial/Investment adviser ","4400","6150","9550","4500","6150","9660"
"389","24142",2019,"financial and insurance services","professionals","Foreign exchange dealer/Broker","6667","13000","16200","6667","13000","16200"
"390","24133",2019,"financial and insurance services","professionals","Fund/Portfolio manager ","6333","7700","10000","6398","7765","10081"
"391","22110",2019,"financial and insurance services","professionals","General practitioner/Physician","4899","5088","5357","5122","5503","6200"
"392","25160",2019,"financial and insurance services","professionals","Information technology project manager","7584","10000","13445","7924","10000","13445"
"393","25240",2019,"financial and insurance services","professionals","Information technology security specialist","5875","7383","10280","6150","7444","10280"
"394","26112",2019,"financial and insurance services","professionals","In-house legal counsel ","8454","14070","19725","8454","14262","20119"
"395","24150",2019,"financial and insurance services","professionals","Insurance underwriter","4532","6200","8707","4590","6380","8707"
"396","2421",2019,"financial and insurance services","professionals","Management and business consultant","4599","5685","8400","4599","5767","8400"
"397","212",2019,"financial and insurance services","professionals","Mathematician, actuary, statistician and other related professional","4853","6165","7769","4930","6660","8650"
"398","25220",2019,"financial and insurance services","professionals","Network, servers and computer systems administrator","3735","4355","5900","3945","4715","6030"
"399","25230",2019,"financial and insurance services","professionals","Network/Infrastructure architect, engineer and specialist","4290","5248","6327","4547","5364","6327"
"400","24320",2019,"financial and insurance services","professionals","Public relations/Corporate communications professional","3460","3843","4610","3472","3869","4610"
"401","24334",2019,"financial and insurance services","professionals","Sales professional (institutional sales of financial products)","3675","4500","6000","4374","5543","7157"
"402","24141",2019,"financial and insurance services","professionals","Securities and finance dealer/Broker","3800","10417","20950","4000","10608","21522"
"403","2511",2019,"financial and insurance services","professionals","Systems analyst","5230","6333","7350","5390","6398","7415"
"404","24134",2019,"financial and insurance services","professionals","Treasury manager","7721","11940","17336","7721","11940","17336"
"405","33130",2019,"financial and insurance services","associate professionals and technicians","Accounting associate professional ","3500","4056","5500","3501","4162","5570"
"406","33221",2019,"financial and insurance services","associate professionals and technicians","Business development executive","3150","3750","5300","3150","3750","5353"
"407","3322",2019,"financial and insurance services","associate professionals and technicians","Commercial and marketing sales executive","3150","3627","4994","3162","3748","5200"
"408","35120",2019,"financial and insurance services","associate professionals and technicians","Computer technician ","2900","3336","4221","2950","3403","4240"
"409","3345",2019,"financial and insurance services","associate professionals and technicians","Human resource associate professional","3462","4050","5333","3462","4140","5425"
"410","33211",2019,"financial and insurance services","associate professionals and technicians","Insurance sales agent/Broker ","3626","4283","5039","3626","4283","5089"
"411","33491",2019,"financial and insurance services","associate professionals and technicians","Management executive","3500","4200","5190","3600","4350","5200"
"412","33492",2019,"financial and insurance services","associate professionals and technicians","Operations officer ","3467","4089","5100","3550","4150","5200"
"413","3315",2019,"financial and insurance services","associate professionals and technicians","Valuer and loss assessor","4333","5152","6590","4470","5410","6850"
"414","4311",2019,"financial and insurance services","clerical support workers","Accounting and bookkeeping clerk","2245","2622","3190","2350","2850","3350"
"415","42111",2019,"financial and insurance services","clerical support workers","Bank teller","2377","2500","3000","2689","2958","3421"
"416","4312",2019,"financial and insurance services","clerical support workers","Finance and insurance clerk","2959","3400","3806","3131","3691","4165"
"417","4110",2019,"financial and insurance services","clerical support workers","General office clerk","2106","2425","2917","2200","2530","3000"
"418","4224",2019,"financial and insurance services","clerical support workers","Receptionist, customer service and information clerk","3300","3649","4100","3500","3889","4375"
"419","41201",2019,"financial and insurance services","clerical support workers","Secretary","4397","5366","6829","4401","5428","6850"
"420","83222",2019,"financial and insurance services","plant and machine operators and assemblers","Chauffeur","2345","2593","2983","2571","3270","3773"
"421","12112",2019,"education, health and social services","managers","Administration manager","4899","6410","8832","4939","6410","8832"
"422","12220",2019,"education, health and social services","managers","Advertising/Public relations manager","5200","6702","10331","5215","6920","10371"
"423","13430",2019,"education, health and social services","managers","Aged care services manager","3809","4465","5686","3930","4575","5946"
"424","12111",2019,"education, health and social services","managers","Budgeting and financial accounting manager ","5500","6601","8640","5500","6601","8640"
"425","12212",2019,"education, health and social services","managers","Business development manager","4825","6320","7703","4872","6496","7703"
"426","1345",2019,"education, health and social services","managers","Education and training institution manager","4400","5500","7540","4521","5586","7540"
"427","13420",2019,"education, health and social services","managers","Health services manager","5373","6968","8906","5449","7276","9328"
"428","1212",2019,"education, health and social services","managers","Human resource manager","5112","6500","8550","5200","6557","8560"
"429","11201",2019,"education, health and social services","managers","Managing director/Chief executive officer","6769","10000","17200","6769","10000","17666"
"430","13303",2019,"education, health and social services","managers","Network and communications manager","5857","7165","9159","5857","7215","9159"
"431","12191",2019,"education, health and social services","managers","Premises and facilities maintenance manager ","5400","6203","7793","5425","6203","7817"
"432","12230",2019,"education, health and social services","managers","Research and development manager","5075","6205","11635","5120","6205","11635"
"433","12211",2019,"education, health and social services","managers","Sales and marketing manager","4690","6070","8500","4738","6370","8700"
"434","13440",2019,"education, health and social services","managers","Social welfare manager","3306","4763","6327","3306","4775","6327"
"435","13302",2019,"education, health and social services","managers","Software and applications manager","5025","6376","7924","5025","6376","7974"
"436","13291",2019,"education, health and social services","managers","Technical/Engineering services manager ","5569","6112","7069","5584","6112","7069"
"437","24111",2019,"education, health and social services","professionals","Accountant ","4221","4927","5980","4228","4927","5980"
"438","21347",2019,"education, health and social services","professionals","Clinical research professional","3400","4327","5750","3426","4327","5852"
"439","22110",2019,"education, health and social services","professionals","General practitioner/Physician","7889","13275","15951","9233","17119","23000"
"440","212",2019,"education, health and social services","professionals","Mathematician, actuary, statistician and other related professional","3300","3543","4112","3300","3557","4122"
"441","22694",2019,"education, health and social services","professionals","Medical diagnostic radiographer","3986","4492","6179","4181","4902","6251"
"442","22680",2019,"education, health and social services","professionals","Occupational therapist","3615","4099","4600","3615","4099","4600"
"443","2262",2019,"education, health and social services","professionals","Pharmacist","3656","4054","4899","3722","4124","5084"
"444","22641",2019,"education, health and social services","professionals","Physiotherapist","3500","4063","5060","3500","4063","5120"
"445","26340",2019,"education, health and social services","professionals","Psychologist","3490","4438","8363","3500","4438","8388"
"446","24320",2019,"education, health and social services","professionals","Public relations/Corporate communications professional","3083","3634","4059","3096","3634","4071"
"447","22200",2019,"education, health and social services","professionals","Registered nurse and other nursing professional ","3058","3673","4784","3334","3973","5067"
"448","2635",2019,"education, health and social services","professionals","Social work and counselling professional","3500","3926","4752","3512","3947","4820"
"449","2512",2019,"education, health and social services","professionals","Software, web and multimedia developer","3358","4179","5579","3358","4229","5579"
"450","2362",2019,"education, health and social services","professionals","Special education teacher","2900","3284","3918","2940","3295","3938"
"451","2212",2019,"education, health and social services","professionals","Specialist medical practitioner (medical)","9663","13022","19363","13171","18598","26351"
"452","22662",2019,"education, health and social services","professionals","Speech therapist","3300","3730","4486","3300","3730","4486"
"453","2511",2019,"education, health and social services","professionals","Systems analyst","4178","4760","6104","4178","4760","6104"
"454","23300",2019,"education, health and social services","professionals","Technical/Vocational/Commercial education institute teacher and trainer","3836","4518","5616","3836","4642","5616"
"455","23101",2019,"education, health and social services","professionals","University lecturer","9690","12843","17164","9690","12961","17393"
"456","33130",2019,"education, health and social services","associate professionals and technicians","Accounting associate professional ","3000","3500","4153","3013","3534","4153"
"457","33221",2019,"education, health and social services","associate professionals and technicians","Business development executive","2702","3705","4050","2900","3705","4157"
"458","3323",2019,"education, health and social services","associate professionals and technicians","Buyer and purchasing agent","2789","3041","3786","2800","3041","3786"
"459","31111",2019,"education, health and social services","associate professionals and technicians","Chemistry technician","3368","4521","5123","3368","4521","5123"
"460","31413",2019,"education, health and social services","associate professionals and technicians","Clinical research coordinator","3057","3217","3523","3106","3268","3600"
"461","3322",2019,"education, health and social services","associate professionals and technicians","Commercial and marketing sales executive","2900","3398","3831","2900","3424","4000"
"462","35120",2019,"education, health and social services","associate professionals and technicians","Computer technician ","3143","4043","4564","3143","4079","4581"
"463","32511",2019,"education, health and social services","associate professionals and technicians","Dental assistant","2000","2210","2555","2177","2537","2964"
"464","32200",2019,"education, health and social services","associate professionals and technicians","Enrolled/Assistant nurse ","2195","2680","3141","2320","2820","3315"
"465","3620",2019,"education, health and social services","associate professionals and technicians","Extracurriculum instructor","2630","3100","3635","2630","3281","3715"
"466","3345",2019,"education, health and social services","associate professionals and technicians","Human resource associate professional","2699","3200","3889","2726","3200","3900"
"467","36201",2019,"education, health and social services","associate professionals and technicians","Language instructor (extracurriculum)","2300","3066","3600","2559","3281","3709"
"468","34331",2019,"education, health and social services","associate professionals and technicians","Library officer","3200","3491","4220","3200","3491","4220"
"469","33491",2019,"education, health and social services","associate professionals and technicians","Management executive","3000","3470","4122","3000","3500","4146"
"470","3115",2019,"education, health and social services","associate professionals and technicians","Mechanical engineering technician","2113","2668","3650","2189","2747","4318"
"471","32120",2019,"education, health and social services","associate professionals and technicians","Medical and pathology laboratory technician","2300","3289","4269","2478","3585","4575"
"472","33492",2019,"education, health and social services","associate professionals and technicians","Operations officer ","2860","3350","4033","2914","3400","4072"
"473","32591",2019,"education, health and social services","associate professionals and technicians","Paramedic","1950","2100","2200","2449","3146","3440"
"474","32130",2019,"education, health and social services","associate professionals and technicians","Pharmacy technician","2255","2545","3049","2351","2712","3171"
"475","31601",2019,"education, health and social services","associate professionals and technicians","Premises and facilities maintenance officer","2950","3510","3755","3022","3563","3853"
"476","36100",2019,"education, health and social services","associate professionals and technicians","Pre-primary education teacher","2250","2502","2845","2493","2749","3067"
"477","3412",2019,"education, health and social services","associate professionals and technicians","Social work associate professional","2100","2403","2750","2124","2450","2800"
"478","4311",2019,"education, health and social services","clerical support workers","Accounting and bookkeeping clerk","2250","2666","3140","2269","2700","3200"
"479","40000",2019,"education, health and social services","clerical support workers","Clerical supervisor","2519","3397","4298","2538","3397","4300"
"480","4110",2019,"education, health and social services","clerical support workers","General office clerk","1890","2206","2687","1900","2261","2730"
"481","44110",2019,"education, health and social services","clerical support workers","Library clerk","2337","3000","3458","2337","3000","3458"
"482","4224",2019,"education, health and social services","clerical support workers","Receptionist, customer service and information clerk","1926","2258","2708","2000","2366","2876"
"483","41201",2019,"education, health and social services","clerical support workers","Secretary","3576","4270","4994","3576","4270","5123"
"484","4321",2019,"education, health and social services","clerical support workers","Stock clerk","1800","1950","2232","1815","1950","2315"
"485","5311",2019,"education, health and social services","service and sales workers","Child care and related worker","1600","2000","2142","1663","2000","2215"
"486","51200",2019,"education, health and social services","service and sales workers","Cook","1300","1384","1544","1300","1400","1570"
"487","53201",2019,"education, health and social services","service and sales workers","Healthcare assistant ","1650","1913","2281","1661","1950","2445"
"488","5320",2019,"education, health and social services","service and sales workers","Healthcare assistant and other personal care worker","1500","1650","1949","1600","1774","2139"
"489","5414",2019,"education, health and social services","service and sales workers","Security guard","1554","2169","2531","2458","2779","3186"
"490","53120",2019,"education, health and social services","service and sales workers","Teachers' aide","1700","1900","2149","2021","2192","2450"
"491","83224",2019,"education, health and social services","plant and machine operators and assemblers","Ambulance driver","1545","1700","1836","1750","2037","2651"
"492","83223",2019,"education, health and social services","plant and machine operators and assemblers","Van driver","1760","1864","2023","1846","2095","2354"
"493","91190",2019,"education, health and social services","cleaners, labourers and related workers","Cleaner in other establishments ","1300","1383","1506","1300","1389","1522"
"494","96253",2019,"education, health and social services","cleaners, labourers and related workers","Hospital/Clinic attendant","1560","1724","1799","1560","1740","1932"
"495","9621",2019,"education, health and social services","cleaners, labourers and related workers","Porter and related worker","1441","1560","1740","1626","2020","2525"
"496","12112",2019,"art, entertainment, recreation and other services","managers","Administration manager","5000","7905","9634","5000","8000","10470"
"497","12220",2019,"art, entertainment, recreation and other services","managers","Advertising/Public relations manager","4928","6610","9608","5159","6884","9983"
"498","14330",2019,"art, entertainment, recreation and other services","managers","Arts and cultural centre manager ","4700","6840","9336","4700","6880","9376"
"499","12111",2019,"art, entertainment, recreation and other services","managers","Budgeting and financial accounting manager ","4654","6555","9490","4900","6555","9636"
"500","12212",2019,"art, entertainment, recreation and other services","managers","Business development manager","4978","7000","9065","4978","7537","9495"
"501","12241",2019,"art, entertainment, recreation and other services","managers","Customer service manager","5550","6748","8117","5650","6903","8280"
"502","1212",2019,"art, entertainment, recreation and other services","managers","Human resource manager","4829","6815","8965","4932","7212","9377"
"503","11201",2019,"art, entertainment, recreation and other services","managers","Managing director/Chief executive officer","2500","5500","14480","2500","5750","14480"
"504","14324",2019,"art, entertainment, recreation and other services","managers","Park/Garden/Nature reserve manager","4395","5430","7770","4540","5571","7830"
"505","1432",2019,"art, entertainment, recreation and other services","managers","Recreation centre manager","3630","4782","6870","3809","5000","7126"
"506","12211",2019,"art, entertainment, recreation and other services","managers","Sales and marketing manager","4215","5282","7300","4215","5282","7370"
"507","14326",2019,"art, entertainment, recreation and other services","managers","Wellness centre manager ","1200","2650","3000","3000","4980","7126"
"508","2652",2019,"art, entertainment, recreation and other services","professionals","Musician, composer and singer","4600","5411","6387","4863","5593","6983"
"509","24320",2019,"art, entertainment, recreation and other services","professionals","Public relations/Corporate communications professional","3505","4149","5638","3508","4249","5738"
"510","2511",2019,"art, entertainment, recreation and other services","professionals","Systems analyst","4600","5945","7516","4993","6230","7576"
"511","33130",2019,"art, entertainment, recreation and other services","associate professionals and technicians","Accounting associate professional ","2898","3488","4305","2905","3585","4347"
"512","3521",2019,"art, entertainment, recreation and other services","associate professionals and technicians","Broadcasting technician and audio-visual operator","2885","3604","4589","3441","4059","4636"
"513","33221",2019,"art, entertainment, recreation and other services","associate professionals and technicians","Business development executive","2600","3045","3750","2650","3145","3800"
"514","3322",2019,"art, entertainment, recreation and other services","associate professionals and technicians","Commercial and marketing sales executive","2485","2925","3478","2634","3145","4120"
"515","35120",2019,"art, entertainment, recreation and other services","associate professionals and technicians","Computer technician ","2130","2369","2868","2220","2515","3646"
"516","3114",2019,"art, entertainment, recreation and other services","associate professionals and technicians","Electronics engineering technician","2755","3180","3237","2845","3310","3584"
"517","3345",2019,"art, entertainment, recreation and other services","associate professionals and technicians","Human resource associate professional","3539","4201","5124","3650","4674","5658"
"518","33491",2019,"art, entertainment, recreation and other services","associate professionals and technicians","Management executive","2230","3350","4000","2507","3432","4000"
